origin,person,personal-id,sampling_event_code_2022,molecular-id_AHE,Subfamily,tribe,tribe_uncert,subtribe,genus,genus_uncert,species,species_uncert,sex,sex_uncert,date_DNAextraction,year,country,Date,collector,collection_Method,Country,cooY,cooX,altitude,location,AHE1,AHE1 length,AHE-BLAST,AHE-BLAST hit,AHE-identity(coverage),iPhycl,AHE1 iPhycl-Ca. Phytoplasma ass.,AHE1 iPhycl-16S group/subgroup classification,RFLP unique restriction enzymes,AHE2 length,AHE1-AHE2,AHE2 iPhycl-Ca. Phytoplasma ass.,AHE2 iPhycl-16S group/subgroup classification,CAT-AHE,CATcons-AHE,AHE probe kit 2,qPCR,qPCR-Cq,CAT-qPCR
GoLife,YC,Ery227,,,Typhlocybinae,Erythroneurini,,,,,,,,,,,,missing,,,,missing,,,,,,,,,,,,,,,,,,,,neg,,
GoLife,VT,VT-P1,,,Megophthalminae ,Agalliini,,,Anaceratagallia,,consobrina,,M,,,2012,Portugal,2012,L. Monteiro Torres,vacuum,Portugal,"41°09'26.9""N","7°36'50.4""W",,Alto Duoro,,,,,,,,,,,,,,,,,pos,30.64,
GoLife,,Ery229,,,Typhlocybinae,Erythroneurini,,,,,,,,,,,,missing,,,,missing,,,,,,,,,,,,,,,,,,,,neg,40.03,
GoLife,,Ery230,,,Typhlocybinae,Erythroneurini,,,,,,,,,,,,missing,,,,missing,,,,,,,,,,,,,,,,,,,,neg,,
GoLife,,Ery251,,,Typhlocybinae,Erythroneurini,,,Pettya,,tenuis,,M,,,1995,Australia,7-27 xii 1995,M.E. Irwin,,Australia,missing,,,Brisbane Forest Park Qld.,,,,,,,,,,,,,,,,,neg,,
GoLife,,Ery252,,,Typhlocybinae,Erythroneurini,,,Projecta,,auriculata,,M,,,2008,Republic of Congo,25-Aug-08,"Braet, Sharkey",,Republic of Congo,"3°16'11.8""S","15°28'16.0""E",,Iboubikro,,,,,,,,,,,,,,,,,neg,38.46,
GoLife,,Ery253,,,Typhlocybinae,Erythroneurini,,,,,,,,,,,,missing,,,,missing,,,,,,,,,,,,,,,,,,,,neg,,
GoLife,,Ery265,,,Typhlocybinae,Erythroneurini,,,,,,,,,,,,missing,,,,missing,,,,,,,,,,,,,,,,,,,,neg,,
GoLife,,Ery266,,,Typhlocybinae,Erythroneurini,,,n.gen.F,,n.sp.1,,M,,,2005,Madagascar,18-25 Mar 2005,"M. Irwin, R. Harin'Hala",Malaise,Madagascar,"14°26'17.4""S","49°46'26.4""E",,Antsiranana,,,,,,,,,,,,,,,,,neg,,
GoLife,,Ery267,,,Typhlocybinae,Erythroneurini,,,undetermined,,,,M,,,2006,Thailand,16-22.xii.2006,"Pongpitak, Sathit",Malaise,Thailand,"16°35'47.3""N","100°52'17.2""E",769,Phetchabun Thung Salaeng Luang NP,,,,,,,,,,,,,,,,,neg,,
GoLife,,Ery268,,,Typhlocybinae,Erythroneurini,,,n.gen.A,,n.sp.1,,M,,,2005,Madagascar,18-25 Mar 2005,"M. Irwin, R. Harin'Hala",Malaise,Madagascar,"14°26'17.4""S","49°46'26.4""E",,Antsiranana,,,,,,,,,,,,,,,,,neg,38.3,
GoLife,,Ery269,,,Typhlocybinae,Erythroneurini,,,n.gen.W,,n.sp.1,,M,,,2005,Madagascar,18-25 Mar 2005,"M. Irwin, R. Harin'Hala",Malaise,Madagascar,"14°26'17.4""S","49°46'26.4""E",,Antsiranana,,,,,,,,,,,,,,,,,neg,,
GoLife,,Ery271,,,Typhlocybinae,Erythroneurini,,,,,,,,,,,,missing,,,,missing,,,,,,,,,,,,,,,,,,,,neg,,
GoLife,,Ery282,,,Typhlocybinae,Erythroneurini,,,Matsumurina,,kagina,,M,,,2004,Taiwan,13-Jun-04,C.H. Dietrich,Hg vapor lights,Taiwan,"24°6'28""N","121°11'50.0""E",,Kaohsiung,,,,,,,,,,,,,,,,,neg,,
GoLife,,Ery283,,,Typhlocybinae,Erythroneurini,,,Nsimbala,,n.sp.,,M,,,2001,Central African Republic,12-V-2001,S. van Noort,Malaise,Central African Republic,"3°02'00.6""N","16°24'34.2""E",,CAR01-M06,,,,,,,,,,,,,,,,,neg,,
GoLife,,VT-P2,,,Megophthalminae ,Agalliini,,,Anaceratagallia,,laevis,,M,,,2012,Portugal,2012,L. Monteiro Torres,vacuum,Portugal,"41°09'26.9""N","7°36'50.4""W",,Alto Duoro,,,,,,,,,,,,,,,,,neg,32.41,
GoLife,,Ery333,,,Typhlocybinae,Erythroneurini,,,,,,,,,,,,missing,,,,missing,,,,,,,,,,,,,,,,,,,,neg,37.5,
GoLife,,VT-P3,,,Deltocephalinae,Goniagnathini,,,Goniagnathus,,sp.,,F,,,2012,Portugal,2012,L. Monteiro Torres,vacuum,Portugal,"41°09'26.9""N","7°36'50.4""W",,Alto Duoro,,,,,,,,,,,,,,,,,pos,31.65,
GoLife,,Ery337,,,Typhlocybinae,Erythroneurini,,,,,,,,,,,,missing,,,,missing,,,,,,,,,,,,,,,,,,,,neg,,
GoLife,,Ery338,,,Typhlocybinae,Erythroneurini,,,,,,,,,,,,missing,,,,missing,,,,,,,,,,,,,,,,,,,,neg,,
GoLife,,VT-P4,,,Deltocephalinae,Platymetopiini,,,Platymetopius,,sp.,,F,,,2012,Portugal,2012,L. Monteiro Torres,vacuum,Portugal,"41°09'26.9""N","7°36'50.4""W",,Alto Duoro,,,,,,,,,,,,,,,,,neg,48.63,
GoLife,VT,VT-P5,,,Deltocephalinae,Platymetopiini,,,Platymetopius,,rostratus,,F,,,2012,Portugal,2012,L. Monteiro Torres,vacuum,Portugal,"41°09'26.9""N","7°36'50.4""W",,Alto Duoro,,,,,,,,,,,,,,,,,pos,27.11,
GoLife,,Thai-152,,,Typhlocybinae,,,,n.gen.,,n.sp.,,M,,,2007,Thailand,20-27.viii.2007,"Phumirate S., Srilopien",Malaise,Thailand,"16°02'05.6""N","99°14'08.6""E",315,Kamphaeng Phet Mae Wong NP E of checkpoint65,,,,,,,,,,,,,,,,,neg,50.49,
GoLife,,Thai-153,,,Typhlocybinae,,,,n.gen.,,n.sp.,,M,,,2007,Thailand,23-30.vii.2007,"Pongpitak, Sathit",Malaise,Thailand,"16°34'34.2""N","100°53'09.6""E",750,Phetchabun Thung Salaeng Luang NP,,,,,,,,,,,,,,,,,neg,41.16,
GoLife,,Thai-154,,,Typhlocybinae,Erythroneurini,,,Kabakra,,celata,,M,,,2008,Thailand,21-28.v.2008,Thonghuay Phatai,Malaise,Thailand,"16°49'00.6""N","101°47'37.2""E",276,Loei Phu Kradueng NP,,,,,,,,,,,,,,,,,neg,,
GoLife,,Thai-155,,,Typhlocybinae,,,,n.gen.,,n.sp.,,M,,,2007,Thailand,6-13.viii.2007,"Pongpitak, Sathit ",Malaise,Thailand,"16°34'20.4""N","100°53'25.8""E",758,Phetchabun Thung Salaeng Luang NP,,,,,,,,,,,,,,,,,neg,47.5,
GoLife,,Thai-156,,,Typhlocybinae,,,,n.gen.,,n.sp.,,M,,,2006,Thailand,2-9.x.2006,Leng Janteab,Malaise,Thailand,"16°42'32.4""N","101°35'01.8""E",891,Phetchabun Nam Nao NP Pine forest/Sambon 2  ,,,,,,,,,,,,,,,,,neg,,
GoLife,,Thai-157,,,Typhlocybinae,,,,n.gen.,,n.sp.,,M,,,2008,Thailand,4-11.ix.2008,"Somboon, Daorueng ",Malaise,Thailand,"14°38'09.3""N","98°59'51.0""E",210,Kanchanaburi Khuean Srinagarindra NP,,,,,,,,,,,,,,,,,neg,,
GoLife,,Thai-158,,,Typhlocybinae,,,,,,,,M,,,2009,Thailand,4-11.v.2009,Sirichai,Malaise,Thailand,"12°48'06.4""N","99°26'40.1""E",320,Petchaburi Kaeng Krachan NP km16/road/stream2,,,,,,,,,,,,,,,,,neg,43.41,
GoLife,,Thai-162,,,Typhlocybinae,,,,n.gen.,,n.sp.,,M,,,2008,Thailand,4-11.ix.2008,"Somboon, Daorueng ",Malaise,Thailand,"14°38'09.3""N","98°59'51.0""E",210,Kanchanaburi Khuean Srinagarindra NP,,,,,,,,,,,,,,,,,neg,28.24,
GoLife,,Thai-250,,,Typhlocybinae,,,,n.gen.,,n.sp.,,M,,,2006,Thailand,2-9.x.2006,Leng Janteab,Malaise,Thailand,"16°42'32.4""N","101°35'01.8""E",891,Phetchabun Nam Nao NP Pine forest/Sambon 2  ,,,,,,,,,,,,,,,,,neg,,
GoLife,,Thai-251,,,Typhlocybinae,,,,n.gen.1,,n.sp.1,,M,,,2007,Thailand,10-11.iv.2007,Tawit Jaruphan,pan trap,Thailand,"15°57'31.2""N","101°54'26.4""E",297,Chaiyaphum Tat Tone NP Entrance/Pha Eang waterfall ,,,,,,,,,,,,,,,,,neg,,
GoLife,,Thai-253,,,Typhlocybinae,,,,n.gen.,,n.sp.,,M,,,2008,Thailand,9-16.x.2008,"Somboon, Daorueng",Malaise,Thailand,"14°38'07.4""N","98°59'39.4""E",,Kanchanaburi Khuean Srinagarindra NP,,,,,,,,,,,,,,,,,neg,,
GoLife,,Thai-256,,,Typhlocybinae,Erythroneurini,,,Anufrievia,,quadrata,,M,,,2007,Thailand,12-19.v.2007,"Somchai Chachumnan, Saink Singtong ",Malaise,Thailand,"16°32'32.3""N","101°02'29.0""E",242,Phetchabun Khao Kho NP,,,,,,,,,,,,,,,,,neg,,
GoLife,,Thai-260,,,Typhlocybinae,Erythroneurini,,,Anufrievia,,expansa,,M,,,2006,Thailand,2-9.x.2006,Leng Janteab,Malaise,Thailand,"16°42'32.4""N","101°35'01.8""E",891,Phetchabun Nam Nao NP Pine forest/Sambon 2  ,,,,,,,,,,,,,,,,,neg,,
GoLife,,Thai-266,,,Typhlocybinae,,,,n.gen.,,n.sp.,,M,,,2006,Thailand,9-16.x.2006,Noopean Hongyothi,Malaise,Thailand,"16°42'24.6""N","101°35'18.0""E",868,Phetchabun Nam Nao NP Pine forest/Sambon 3  ,,,,,,,,,,,,,,,,,neg,,
GoLife,VT,VT-P6,,,Deltocephalinae,Platymetopiini,,,Platymetopius,,rostratus,,M,,,2012,Portugal,2012,L. Monteiro Torres,yellow sticky trap,Portugal,"41°09'26.9""N","7°36'50.4""W",,Alto Duoro,,,,,,,,,,,,,,,,,pos,27.66,
GoLife,,HOI54178,,,,,,,,,,,,,,,,missing,,,,missing,,,,,,,,,,,,,,,,,,,,neg,,
GoLife,,HOI54058,,,,,,,,,,,,,,,,missing,,,,missing,,,,,,,,,,,,,,,,,,,,neg,,
GoLife,,HOI34159,,,,,,,,,,,,,,,,missing,,,,missing,,,,,,,,,,,,,,,,,,,,neg,,
GoLife,,HOI33730,,,,,,,,,,,,,,,,missing,,,,missing,,,,,,,,,,,,,,,,,,,,neg,,
GoLife,,HOI34131,,,,,,,,,,,,,,,,missing,,,,missing,,,,,,,,,,,,,,,,,,,,neg,,
GoLife,,HOI34671,,,,,,,,,,,,,,,,missing,,,,missing,,,,,,,,,,,,,,,,,,,,neg,,
GoLife,,HOI33965,,,,,,,,,,,,,,,,missing,,,,missing,,,,,,,,,,,,,,,,,,,,neg,43.59,
GoLife,,HOI33288,,,,,,,,,,,,,,,,missing,,,,missing,,,,,,,,,,,,,,,,,,,,neg,,
GoLife,YC,51-22.1,,,Mileewinae,Mileewini,,,Mileewa,,pallida,,M,,28-Oct-20,2006,Zambia,"Apr. 19-May 1, 2006","J.R. Cryan, J.M. Urban",,Zambia,"13°22'20.2""S","28°44'58.4""E",,"Copperbelt Province; Ndola District; Nsobe Game Camp, ~60km S Ndola on Great North Road",,,,,,,,,,,,,,,,,neg,11.17,
GoLife,YC,51-33.1,,,Deltocephalinae,Opsiini,,,Orosius,,canberrensis,,M,,28-Oct-20,2005,Australia,22-Jan-05,"K. Hill, D. Marshall, M. Moulds",,Australia,"24°40'11.2""S","146°22'11.4""E",,"Little Windeyer Creek, 28km N of Tambo on the road to Alpha",,,,,,,,,,,,,,,,,neg,47.34,
GoLife,YC,51-25.1,,,Typhlocybinae,Empoascini,,,n.gen.NG1,,n.sp.1,,M,,28-Oct-20,2000,Papua New Guinea,16-Sep-00,A.S. & M.F. Whiting,,Papua New Guinea,"6°03'33.5""S","145°24'04.3""E",,Eastern Highlands; Goroka City,,,,,,,,,,,,,,,,,neg,11.5,
GoLife,YC,51-27.1,,,Megophthalminae,Agalliini,,Agalliina,Dryodurgades,,formosanus,,M,,28-Oct-20,2015,China,18-Sep-15,C.H. Dietrich,sweep,China,"33°59'02.4""N","109°00'31.5""E",,"Shaanxi, Cuihuashan",,,,,,,,,,,,,,,,,neg,47.38,
,,,,,,,,,,,,,,,,,,,,,,,,,"Nat. Geopark, ca. Tianchi Lake",,,,,,,,,,,,,,,,,,,
GoLife,YC,51-28.1,,,Deltocephalinae,Scaphoideini,,,n.gen.AU2,,n.sp.1,,M,,28-Oct-20,2015,Australia,21-Feb-15,C.H. Dietrich,Hg light,Australia,"27°27'42.8""S","152°57'16.6""E",194,"QLDBrisbane, Mt. Coot-thaReservoir Trail27",,,,,,,,,,,,,,,,,neg,48.8,
GoLife,YC,51-34.1,,,Deltocephalinae,Athysanini,,,n.gen.AU12,,n.sp.1,,M,,28-Oct-20,2005,Australia,23-Jan-05,"K. Hill, D. Marshall, M. Moulds",,Australia,"26°46'24.7""S","148°01'47.1""E",315,"Approx. 37km S of Mitchell, at Maranoa River",,,,,,,,,,,,,,,,,neg,48.51,
GoLife,YC,51-35.1,,,Deltocephalinae,Limotettigini,,,Limotettix,,awae,,M,,28-Oct-20,2005,Australia,23-Jan-05,"K. Hill, D. Marshall, M. Moulds",,Australia,"26°46'24.7""S","148°01'47.1""E",315,"Approx. 37km S of Mitchell, at Maranoa River",,,,,,,,,,,,,,,,,neg,45.18,
GoLife,YC,51-31.1,,,Deltocephalinae,Athysanini,,,n.gen.AU3,,n.sp.,,M,,28-Oct-20,2005,Australia,18-Jan-05,"K. Hill, D. Marshall, M. Moulds",,Australia,"18°13'22.7""S","142°48'43.0""E",177,"Venture Creek, W bank, approx 80km W of Georgetown, on Gulf Developmental Road",,,,,,,,,,,,,,,,,neg,45.14,
GoLife,YC,51-32.1,,,Deltocephalinae,Paralimnini,,,,,,,F,,28-Oct-20,2005,Australia,18-Jan-05,"K. Hill, D. Marshall, M. Moulds",,Australia,"18°13'22.7""S","142°48'43.0""E",177,"Venture Creek, W bank, approx 80km W of Georgetown, on Gulf Developmental Road",,,,,,,,,,,,,,,,,neg,47.81,
GoLife,YC,51-37.1,,,Deltocephalinae,Athysanini,,,n.gen.AU1,,n.sp.3,,M,,28-Oct-20,2005,Australia,18-Jan-05,"K. Hill, D. Marshall, M. Moulds",,Australia,"18°13'22.7""S","142°48'43.0""E",177,"Venture Creek, W bank, approx 80km W of Georgetown, on Gulf Developmental Road",,,,,,,,,,,,,,,,,neg,44.55,
GoLife,YC,51-18.1,,,Typhlocybinae,Empoascini,,,Afroccidens,,allopatrica,,M,,26-Oct-20,2015,Australia,21-Feb-15,C.H. Dietrich,Hg light,Australia,"27°27'42.8""S","152°57'16.6""E",194,"Brisbane, Mt. Coot-thaReservoir Trail",,,,,,,,,,,,,,,,,neg,41,
GoLife,YC,51-38.1,,,Deltocephalinae,Deltocephalini,,,n.gen.AU1,,n.sp.1,,M,,28-Oct-20,2004,Australia,21-Jan-04,"Hill, Marshall, Cooley, Moulds",,Australia,missing,,,Northern Territory; Stuart Hwy(Hwy1) at Edith River,,,,,,,,,,,,,,,,,neg,25.3,
GoLife,YC,51-43.1,,,Typhlocybinae,Empoascini,,,Wemba,,n.sp.,cf_longistama,M,,7-Mar-21,,,missing,,,,missing,,,,,,,,,,,,,,,,,,,,neg,39.05,
GoLife,YC,52-40.1,,,Deltocephalinae,Vartini,,,n.gen.T2,,n.sp.1,,M,,12-Mar-21,2006,Thailand,27.vii-2.viii.2006,Sailom Tongboonchai,Malaise,Thailand,"17°03'29.3""N","103°58'29.8""E",318,Sakon Nakhon   Phu Phan NP Behind office,,,,,,,,,,,,,,,,,neg,20.81,
GoLife,YC,51-52.1,,,Typhlocybinae,Dikraneurini,,,n.gen.CN1,,n.sp.1,,M,,12-Mar-21,2016,China,10-Sep-16,C.H. Dietrich,sweep,China,"29°49'46.7""N","106°22'42.2""E",872,Chongqing,,,,,,,,,,,,,,,,,neg,44.46,
,,,,,,,,,,,,,,,,,,,,,,,,,Jinyan Shan,,,,,,,,,,,,,,,,,,,
GoLife,YC,52-87.1,,,Deltocephalinae,Paralimnini,,,Nicolaus,,bihamatus,,M,,5-Apr-21,2007,Thailand,19-26.iii.2007,Patikhom Tumtip,Malaise,Thailand,"17°30'44.4""N","101°20'39.0""E",1353,Loei ,,,,,,,,,,,,,,,,,neg,47.11,
,,,,,,,,,,,,,,,,,,,,,,,,,Phu Ruea NP Nature tail,,,,,,,,,,,,,,,,,,,
GoLife,YC,52-86.1,,,Deltocephalinae,Scaphoideini,,,n.gen.T4,,n.sp.2,,M,,5-Apr-21,2006,Thailand,25.ix-2.x.2006,Leng Janteab,Malaise,Thailand,"6°42'24.6""N","101°35'18.0""E",868,Phetchabun Nam Nao NP Pine forest/Sambon 3,,,,,,,,,,,,,,,,,neg,17.86,
GoLife,YC,52-79.1,,,Megophthalminae,Agalliini,,Agalliina,Brasa,,sp.,,M,,5-Apr-21,,,missing,,,,missing,,,,,,,,,,,,,,,,,,,,neg,34.48,
GoLife,YC,52-78.1,,,Deltocephalinae,Chiasmini,,,Exitianus,,distanti,,M,,5-Apr-21,2004,Rwanda,17-18/Jan/2004,V. Thompson,,Rwanda,missing,,,Kibuye by Lake Kivu,,,,,,,,,,,,,,,,,neg,46.08,
GoLife,YC,52-74.1,,,Deltocephalinae,Athysanini,,,n.gen.MG5,,n.sp.,,M,,5-Apr-21,2004,Rwanda,17-18/Jan/2004,V. Thompson,,Rwanda,missing,,,Kibuye by Lake Kivu,,,,,,,,,,,,,,,,,neg,49.51,
GoLife,YC,52-71.1,,,Deltocephalinae,Athysanini,,,n.gen.T8,,n.sp.,,M,,5-Apr-21,2007,Thailand,1-8.xii.2007,Charoen & Nikom,Malaise,Thailand,"19°12'08.0""N","101°04'45.4""E",1310,Nan ,,,,,,,,,,,,,,,,,neg,45.82,
,,,,,,,,,,,,,,,,,,,,,,,,,Doi Phu Kha NP Office 15,,,,,,,,,,,,,,,,,,,
GoLife,YC,52-70.1,,,Deltocephalinae,Opsiini,?,,Sikhamani,,delicatula,,M,,5-Apr-21,2008,Thailand,10-17.iii.2008,Songkran & Apichart,Malaise,Thailand,"19°24'16.7""N","98°55'18.7""E",491,Chiang Mai  ,,,,,,,,,,,,,,,,,neg,34.72,
,,,,,,,,,,,,,,,,,,,,,,,,,Doi Chiang Dao WS Nature trail  ,,,,,,,,,,,,,,,,,,,
GoLife,YC,50-83.1,,,,,,,,,,,M,,,,,missing,,,,missing,,,,,,,,,,,,,,,,,,,,neg,45.75,
GoLife,YC,50-80.1,,,Deltocephalinae,Athysanini,,,,,,,M,,6-Apr-21,,,missing,,,,missing,,,,,,,,,,,,,,,,,,,,neg,48.92,
GoLife,YC,50-79.1,,,Deltocephalinae,Athysanini,,,,,,,F,,6-Apr-21,,,missing,,,,missing,,,,,,,,,,,,,,,,,,,,neg,32.9,
GoLife,YC,50-78.1,,,Deltocephalinae,Acostemmini,,,Acostemma,,n.sp.2,,M,,6-Apr-21,2015,Madagascar,Nov 25-Dec 1 2015,M.E. Irwin & R. Harin'Hala,Malaise,Madagascar,"18°55'03.0""S","48°25'50.0""E",7600,"Mahajanga Alaotra Mangoro Region, Mitsinjo Reserve 22 km SE of Andasibe village",,,,,,,,,,,,,,,,,neg,25.19,
GoLife,YC,53-3.1,,,Typhlocybinae,Empoascini,,,Beamerana,,n.sp.PE1,,M,,13-Jul-21,2012,Peru,20.VIII-01.IX.2012,"A.P.M. Santos, D.M. Takiya ",sweep,Peru,"13°13'03.0""S","70°43'40.0""W",633,"Cusco, 3 rd km E Quincemil",,,,,,,,,,,,,,,,,neg,46.61,
GoLife,YC,53-6.1,,,Typhlocybinae,Erythroneurini,,,n.gen.UG1,,n.sp.1,,M,,13-Jul-21,2005,Uganda,29-31.vii.2005,S. van Noort,Malaise,Uganda,"0°33'59.8""N","30°21'15.7""E",1495,"Kibale National Park, Kanyawara, Makerere University Biological Field Station",,,,,,,,,,,,,,,,,neg,45.64,
GoLife,YC,50-73.1,,,Deltocephalinae,Selenocephalini,,,Bumka,,amphitryon,,M,,6-Apr-21,2009,Cameroon,15-30 Mar 2009,"J.R. Cryan, G.J. Svenson",,Cameroon,"5°59'50.9""N","12°52'34.6""E",,Adamaoua; Mbam et Djerem National Park; Camp Ganga (~4 hours down the Djerem River from WCS guesthouse),,,,,,,,,,,,,,,,,neg,35.56,
GoLife,YC,50-72.1,,,Deltocephalinae,Athysanini,,,n.gen.CM1,,n.sp.,,M,,6-Apr-21,2009,Cameroon,15-30 Mar 2009,"J.R. Cryan, G.J. Svenson",,Cameroon,"5°59'50.9""N","12°52'34.6""E",,Adamaoua; Mbam et Djerem National Park; Camp Ganga (~4 hours down the Djerem River from WCS guesthouse),,,,,,,,,,,,,,,,,neg,47.88,
GoLife,YC,53-6.2,,,Deltocephalinae,Macrostelini,,,Cicadulina,,mbila,,M,,13-Jul-21,2005,Uganda,29-31.vii.2005,S. van Noort,Malaise,Uganda,"0°33'59.8""N","30°21'15.7""E",1495,"Kibale National Park, Kanyawara, Makerere University Biological Field Station",,,,,,,,,,,,,,,,,neg,38,
GoLife,YC,50-68.1,,,Deltocephalinae,Drabescini,,Paraboloponina,n.gen.T,,,,M,,6-Apr-21,2007,Thailand,5-12.iv.2007,Tawit Jaruphan,Malaise,Thailand,"15°57'14.4""N","101°54'04.8""E",271,Chaiyaphum   Tat Tone NP Watershed station 2,,,,,,,,,,,,,,,,,neg,29.3,
GoLife,YC,53-6.3,,,Typhlocybinae,Erythroneurini,,,n.gen.UG2,,n.sp.1,,M,,13-Jul-21,2005,Uganda,29-31.vii.2005,S. van Noort,Malaise,Uganda,"0°33'59.8""N","30°21'15.7""E",1495,"Kibale National Park, Kanyawara, Makerere University Biological Field Station",,,,,,,,,,,,,,,,,neg,47.1,
GoLife,YC,53-6.4,,,Typhlocybinae,Erythroneurini,,,,,,,M,,13-Jul-21,2005,Uganda,29-31.vii.2005,S. van Noort,Malaise,Uganda,"0°33'59.8""N","30°21'15.7""E",1495,"Kibale National Park, Kanyawara, Makerere University Biological Field Station",,,,,,,,,,,,,,,,,neg,17.47,
GoLife,YC,53-6.5,,,Typhlocybinae,Erythroneurini,,,,,,,M,,13-Jul-21,2005,Uganda,29-31.vii.2005,S. van Noort,Malaise,Uganda,"0°33'59.8""N","30°21'15.7""E",1495,"Kibale National Park, Kanyawara, Makerere University Biological Field Station",,,,,,,,,,,,,,,,,neg,38.95,
GoLife,YC,38-67.2,,,Cicadellinae,Cicadellini,,,Madessina,,fusca,,M,,21-Mar-21,2015,Madagascar,"Dec 22-27,  2015","M.Irwin,   R.Harin'Hala",Malaise,Madagascar,"18°55'03.0""S","48°25'50.0""E",760,"Mahajanga Alaotra  Mangoro  Region, Mitsinjo Reserve 22 km SE of Andasibe village",,,,,,,,,,,,,,,,,neg,48.75,
GoLife,YC,38-67.1,,,Cicadellinae,Cicadellini,,,Emadiana,,cuprea,,M,,21-Mar-21,2015,Madagascar,"Dec 22-27,  2015","M.Irwin,   R.Harin'Hala",Malaise,Madagascar,"18°55'03.0""S","48°25'50.0""E",760,"Mahajanga Alaotra  Mangoro  Region, Mitsinjo Reserve 22 km SE of Andasibe village",,,,,,,,,,,,,,,,,neg,47.97,
GoLife,YC,38-66.1,,,Mileewinae,Mileewini,,,Mileewa,,n.sp.VN2,,M,,21-Mar-21,2015,Madagascar,"Dec 22-27,  2015","M.Irwin,   R.Harin'Hala",Malaise,Madagascar,"18°55'03.0""S","48°25'50.0""E",760,"Mahajanga Alaotra  Mangoro  Region, Mitsinjo Reserve 22 km SE of Andasibe village",,,,,,,,,,,,,,,,,neg,50.04,
GoLife,YC,53-6.6,,,Typhlocybinae,Erythroneurini,,,,,,,M,,13-Jul-21,2005,Uganda,29-31.vii.2005,S. van Noort,Malaise,Uganda,"0°33'59.8""N","30°21'15.7""E",1495,"Kibale National Park, Kanyawara, Makerere University Biological Field Station",,,,,,,,,,,,,,,,,neg,47.07,
GoLife,YC,38-64.1,,,Megophthalminae,Agalliini,,Agalliina,Dryodurgades,,formosana,,M,,21-Mar-21,2018,China,24-Jul-18,C.H. Dietrich,hand collaction,China,"30°19'39.4""N","119°27'04.3""E",465,"Zheijiang, Tianmushan Mtn.base",,,,,,,,,,,,,,,,,neg,47.81,
GoLife,YC,53-6.7,,,Typhlocybinae,Erythroneurini,,,,,,,M,,13-Jul-21,2005,Uganda,29-31.vii.2005,S. van Noort,Malaise,Uganda,"0°33'59.8""N","30°21'15.7""E",1495,"Kibale National Park, Kanyawara, Makerere University Biological Field Station",,,,,,,,,,,,,,,,,neg,47.11,
GoLife,YC,38-62.1,,,Megophthalminae,Agalliini,,,Sangeeta,,n.sp.1,,M,,21-Mar-21,2009,Thailand,7-14.ii.2009,P. Wangkum,Malaise,Thailand,"14°58'53.2""N","99°19'22.1""E",,Suphanburi Pu Toei NP Tapern Ki-yai waterfall-picnic area,,,,,,,,,,,,,,,,,neg,38.67,
GoLife,YC,38-61.1,,,Megophthalminae,Agalliini,,,Sangeeta,,n.sp.1,,M,,21-Mar-21,2008,Thailand,14-21.ii.2008,K. Seesom,Malaise,Thailand,"20°03'32.9""N","99°08'33.1""E",2174,Chiang Mai Doi Phahompok NP Kewlom1,,,,,,,,,,,,,,,,,pos,30.29,
GoLife,YC,53-7.1,,,Typhlocybinae,Alebrini,,,n.gen.PE1,,n.sp.1,,M,,13-Jul-21,2012,Peru,20.VIII-01.IX.2012,"A.P.M. Santos, D.M. Takiya ",sweep,Peru,"13°13'03.0""S","70°43'40.0""W",633,"Cusco, 3 rd km E Quincemil",,,,,,,,,,,,,,,,,neg,48.2,
GoLife,YC,53-10.1,,,Typhlocybinae,Erythroneurini,,,Zyginama,,n.sp.PE1,,M,,13-Jul-21,2012,Peru,20.VIII-01.IX.2012,"A.P.M. Santos, D.M. Takiya ",sweep,Peru,"13°13'03.0""S","70°43'40.0""W",633,"Cusco, 3 rd km E Quincemil",,,,,,,,,,,,,,,,,neg,48.27,
GoLife,YC,53-11.1,,,Deltocephalinae,Macrostelini,,,Macrosteles,,,,M,,13-Jul-21,2005,Mexico,18-X-2005,C.H. Dietrich,,Mexico,"19°08'55.3""N","99°09'28.9""W",2950,95 km37 S.,,,,,,,,,,,,,,,,,neg,42.9,
,,,,,,,,,,,,,,,,,,,,,,,,,Mexico City,,,,,,,,,,,,,,,,,,,
GoLife,YC,38-57.1,,,Megophthalminae,Megophthalmini,,,Megophthalmus,,scabripennis,,M,,21-Mar-21,2005,Israel,9-12.V.2005,M.E. Irwin,Malaise,Israel,"31°43'08.4""N","34°37'21.6""E",27,Nizzanim Nature Res,,,,,,,,,,,,,,,,,neg,6.52,
GoLife,YC,53-12.1,,,Deltocephalinae,Athysanini,,,Nakaharanus,,n.sp.,,M,,13-Jul-21,2019,China,24-Oct-19,C.H. Dietrich,,China,"27°07'04.4""N","108°02'23.6""E",890,"Guizhou, Shibing",,,,,,,,,,,,,,,,,neg,36.83,
,,,,,,,,,,,,,,,,,,,,,,,,,ca. Baitangcun,,,,,,,,,,,,,,,,,,,
GoLife,YC,53-13.1,,,Deltocephalinae,Paralimnini,,Paralimnina,Futasujinus,,truncatus,,M,,13-Jul-21,2019,China,24-Oct-19,C.H. Dietrich,LED light,China,"27°04'26.4""N","108°04'09.1""E",730,"Guizhou, Shibing",,,,,,,,,,,,,,,,,neg,9.78,
,,,,,,,,,,,,,,,,,,,,,,,,,ca. Baitangcun,,,,,,,,,,,,,,,,,,,
